LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1,Proteobacteria bacterium CAG:139 | CDA43154
82,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104 | CQE26870
83,Pantoea dispersa | KTR91232
84,Methylomonas methanica | OAH99804
85,Endozoicomonas numazuensis | KEQ16191
86,Endozoicomonas numazuensis | KEQ17347
87,Halomonas sp. GFAJ-1 | EHK61169
88,Marinomonas sp. SBI22 | KZM42618
89,Osedax symbiont Rs1 | EPJ46756
90,Oleiphilus sp. HI0080 | KZZ16593
91,Reinekea sp. MED297 | EAR08707
92,Actinobacillus ureae ATCC 25976 | EFX90545
93,Gallibacterium salpingitidis | OBX06481
94,Haemophilus sp. CCUG 66565 | OBX86253
95,Pasteurella dagmatis ATCC 43325 | EEX50592
96,Pseudomonas sp. URMO17WK12:I11 | CRL48191
97,Pseudomonas sp. 2_1_26 | EHF11675
98,Pseudomonas flexibilis | KHO65273
99,Pseudomonas stutzeri NF13 | EMD99130
100,Beggiatoa sp. PS | EDN69880
101,Candidatus Thiomargarita nelsonii | OAD23123
102,Grimontia hollisae | AMG31975
103,Photobacterium aphoticum | KLV00924
104,Photobacterium profundum SS9 | CAG20433
105,Vibrio cholerae | CSB87193
106,Dyella japonica DSM 16301 | KLD65349
107,Pseudoxanthomonas suwonensis | AKC86336
108,Candidatus Thioglobus autotrophicus | ALE52945
109,Sedimenticola thiotaurini | AKH19828
110,Thiolapillus brandeum | BAO43832
111,Thiolapillus brandeum | BAO44836
112,endosymbiont of Ridgeia piscesae | KRT59364
113,Gammaproteobacteria bacterium SG8_47 | KPK39222
114,Desulfobulbus propionicus DSM 2032 | ADW17542
115,Desulfobacterales bacterium SG8_35 | KPJ98142
116,Bilophila sp. 4_1_30 | EGW42262
117,Desulfovibrio sp. 6_1_46AFAA | EGW51707
118,Geoalkalibacter subterraneus | AJF05543
119,Geobacter sp. M18 | ADW11557
120,Geobacter pickeringii | AJE02263
121,Anaeromyxobacter sp. PSR-1 | GAO04628
122,Cystobacter violaceus Cb vi76 | KFA92432
123,Cystobacter fuscus DSM 2262 | EPX63321
124,Sorangium cellulosum So ce56 | CAN94865
125,Dissulfuribacter thermophilus | OCC14250
126,Arcobacter thereius | OCL93939
127,Campylobacter concisus UNSWCD | EIF07349
128,Campylobacter fetus subsp. fetus | CUU75413
129,Campylobacter fetus subsp. fetus | CZE51183
130,Campylobacter gracilis RM3268 | EEV18947
131,Campylobacter hominis ATCC BAA-381 | ABS51551
132,Campylobacter jejuni subsp. jejuni 1928 | EIB83449
133,Campylobacter showae CSUNSWCD | EKU12478
134,Sulfurospirillum barnesii SES-3 | AAM21158
135,Helicobacter sp. MIT 01-6242 | ANV98729
136,Helicobacter pullorum | OCR16789
137,Helicobacter cetorum MIT 99-5656 | AFI06128
138,Helicobacter cinaedi CCUG 18818 = ATCC BAA-847 | BAM32505
139,Helicobacter felis ATCC 49179 | CBY82397
140,Helicobacter mustelae 12198 | CBG40364
141,Sulfuricurvum kujiense DSM 16994 | ADR33357
142,Sulfurimonas gotlandica GD1 | EHP29116
143,Wolinella succinogenes | CAE10263
144,Nautilia profundicola AmH | ACM93598
145,Nitratiruptor sp. SB155-2 | BAF70913
146,Sulfurovum sp. NBC37-1 | BAF71259
147,Coriobacteriaceae bacterium CHKCI002 | CVH79892
148,Denitrobacterium detoxificans | SEO37300
149,Enterorhabdus caecimuris B7 | EOS53719
150,Slackia sp. CM382 | EJU33744
151,Ardenticatena maritima | KPL86585
152,Marinithermus hydrothermalis DSM 14884 | AEB12539
153,Oceanithermus profundus DSM 14977 | ADR36040
154,Bacillus azotoformans LMG 9581 | EKN63995
155,Desulfitobacterium hafniense | CDX04298
156,Symbiobacterium thermophilum IAM 14863 | BAD39902
157,Symbiobacterium thermophilum IAM 14863 | BAD41041
158,Clostridiales bacterium PH28_bin88 | KKM09544
159,Selenomonas ruminantium subsp. lactilytica TAM6421 | BAL84826
160,Sporomusa ovata DSM 2662 | EQB28238
161,Caldimicrobium thiodismutans | BAU23744
162,Candidatus Methylomirabilis oxyfera | CBE69459
163,hydrocarbon metagenome | KUG26824
